Model,Accuracy,Macro Precision,Macro Recall,Macro F1,CV F1-macro (mean),Training Time (s)
Logistic Regression,0.719776056575181,0.6787445157288275,0.7287914672809174,0.6932149164618538,0.6831532195900598,9.204300880432129
SVM (LinearSVC),0.7264691025425156,0.6799308076416782,0.6992819216904979,0.6864172719883794,0.6779683421943421,3.5582382678985596
Naive Bayes,0.7168715271931302,0.719415590473032,0.596063881750271,0.6288658576753311,0.6267677104212757,0.23323917388916016
